,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
63,Arman,99,RU,1555901676,83,59.7,150.17,30.15,7.65
64,Nikolskoye,0,RU,1555901528,60,59.7,30.79,39.2,4.47
65,Half Moon Bay,40,US,1555901651,87,37.46,-122.43,61.0,13.87
66,Lorengau,42,PG,1555901679,80,-2.02,147.27,83.45,2.19
67,Remanso,99,BR,1555901424,62,-9.62,-42.08,78.23,3.2
68,Hithadhoo,100,MV,1555901681,79,-0.6,73.08,84.22,13.82
69,Honghu,100,CN,1555901683,72,29.82,113.46,68.22,5.06
70,Klaipeda,0,LT,1555899600,86,55.72,21.12,39.2,6.93
71,Batticaloa,81,LK,1555901666,73,7.71,81.69,84.83,2.75
72,Muzhi,96,RU,1555901686,87,65.4,64.7,37.04,12.82
73,Barrow,0,AR,1555901687,86,-38.31,-60.23,49.23,2.08
74,Saryozek,100,KZ,1555901688,84,44.36,77.98,49.59,9.24
75,Amapa,20,HN,1555902000,73,15.09,-87.97,77.0,5.82
76,Lebane,0,RS,1555901661,82,42.92,21.74,45.0,2.24
77,Kodiak,1,US,1555901578,8,39.95,-94.76,75.0,10.29
78,Menongue,26,AO,1555901693,92,-14.66,17.68,59.62,2.84
79,Yellowknife,20,CA,1555901565,55,62.45,-114.38,35.6,3.36
80,Viedma,0,AR,1555901671,77,-40.81,-62.99,50.87,2.39
81,East London,100,ZA,1555901696,92,-33.02,27.91,59.72,9.82
82,Cabo San Lucas,40,MX,1555901443,68,22.89,-109.91,77.0,9.17
83,Butaritari,100,KI,1555901699,84,3.07,172.79,81.61,23.24
84,Itarema,29,BR,1555901700,93,-2.92,-39.92,76.25,4.9
85,Hobart,20,AU,1555901594,42,-42.88,147.33,64.99,13.87
86,Broken Hill,90,AU,1555898400,63,-31.97,141.45,62.6,18.34
87,Mao,20,DO,1555901405,83,19.55,-71.08,78.01,6.93
88,Esperance,20,TT,1555901129,83,10.24,-61.45,78.8,5.82
89,Severo-Kurilsk,99,RU,1555901706,86,50.68,156.12,35.33,18.41
90,Atuona,55,PF,1555901707,75,-9.8,-139.03,83.59,11.72
91,Punta Arenas,0,CL,1555901587,87,-53.16,-70.91,44.6,5.82
92,Kande,90,UG,1555900200,93,0.3,32.05,66.2,11.41
93,Saint-Philippe,90,CA,1555901703,100,45.36,-73.48,53.01,5.06
94,Tucurui,92,BR,1555901435,97,-3.77,-49.67,74.3,2.33
95,Ponta do Sol,4,BR,1555901713,88,-20.63,-46.0,63.95,2.13
96,Khatanga,100,RU,1555901714,91,71.98,102.47,2.11,4.92
97,Bull Savanna,0,JM,1555901715,70,17.89,-77.59,79.2,4.03
98,Nemuro,75,JP,1555898400,53,43.32,145.57,51.8,5.82
99,Comodoro Rivadavia,0,AR,1555898400,58,-45.87,-67.48,53.6,4.7
100,Araouane,0,ML,1555901718,20,18.9,-3.53,79.97,11.63
101,Villa Carlos Paz,90,AR,1555900233,87,-31.42,-64.5,57.2,6.93
102,Cape Town,20,ZA,1555901567,63,-33.93,18.42,64.0,18.34
103,Vestmannaeyjar,54,IS,1555901722,71,63.44,-20.27,42.43,7.38
104,Cherskiy,20,RU,1555901723,79,68.75,161.3,22.23,7.63
105,Novyy Urgal,2,RU,1555901724,27,51.07,132.56,44.59,7.07
106,Hunsur,39,IN,1555901725,52,12.3,76.29,79.7,3.51
107,Bageshwar,0,IN,1555901727,26,29.85,79.77,69.79,2.33
108,Cairns,3,AU,1555901420,66,-16.92,145.77,87.01,17.22
109,Bambous Virieux,75,MU,1555901043,94,-20.34,57.76,77.0,17.22
110,Kahului,0,US,1555901474,72,20.89,-156.47,79.0,13.0
111,Bethel,40,US,1555901580,68,60.79,-161.76,28.4,26.4
112,Burnie,50,AU,1555901644,56,-41.05,145.91,64.99,11.01
113,Iaciara,89,BR,1555901734,89,-14.1,-46.63,72.04,2.42
114,Leningradskiy,100,RU,1555901735,89,69.38,178.42,5.89,17.05
115,Macae,0,BR,1555898400,100,-22.37,-41.79,73.4,2.24
116,Dangriga,1,BZ,1555901167,79,16.97,-88.23,75.0,4.0
117,Tarumovka,24,RU,1555901739,78,44.07,46.54,41.6,7.61
118,Isangel,40,VU,1555898400,79,-19.55,169.27,86.0,9.17
119,Albany,40,US,1555901732,87,42.65,-73.75,57.99,2.93
120,Praia da Vitoria,40,PT,1555901184,93,38.73,-27.07,61.0,18.97
121,Russell,75,AR,1555898400,77,-33.01,-68.8,60.8,3.36
122,Tupik,100,RU,1555901744,69,54.43,119.94,31.93,5.97
123,Wewak,26,PG,1555901745,64,-3.55,143.63,86.4,4.99
124,Skjervoy,98,NO,1555901747,88,70.03,20.97,39.89,17.0
125,Cockburn Town,6,TC,1555901748,78,21.46,-71.14,78.86,15.52
126,Muroto,75,JP,1555898400,64,33.37,134.14,71.6,10.29
127,Freeport,0,BS,1555901687,52,26.54,-78.7,72.25,12.57
128,Pacific Grove,75,US,1555901720,76,36.62,-121.92,61.0,12.75
129,Luderitz,0,NA,1555898400,87,-26.65,15.16,53.6,14.99
130,Belmopan,0,BZ,1555901167,65,17.25,-88.77,80.6,13.87
131,Phalia,0,PK,1555901758,34,32.43,73.58,83.38,4.52
132,Constitucion,40,MX,1555897560,9,23.99,-104.67,75.2,9.17
133,Colorado Springs,40,US,1555901650,81,38.83,-104.83,53.6,14.99
134,Margate,20,AU,1555901534,42,-43.03,147.26,64.99,13.87
135,Bathsheba,40,BB,1555898400,69,13.22,-59.52,78.8,11.41
136,Manaus,75,BR,1555898400,88,-3.13,-59.98,78.8,6.93
137,Celestun,0,MX,1555901727,72,20.87,-90.4,77.54,20.31
138,Georgetown,0,GY,1555898400,88,6.8,-58.16,77.0,4.7
139,Ribeira Grande,83,PT,1555901770,89,38.52,-28.7,60.93,16.75
140,Lompoc,90,US,1555901753,93,34.64,-120.46,62.01,17.22
141,Tulum,5,MX,1555901420,73,20.21,-87.46,75.0,4.7
142,Atar,0,MR,1555901773,21,20.52,-13.05,77.0,11.65
143,Victoria,75,BN,1555898400,62,5.28,115.24,89.6,5.82
144,Beohari,0,IN,1555901776,17,24.05,81.38,90.58,5.48
145,Zhezkazgan,75,KZ,1555900200,55,47.8,67.71,39.2,11.18
146,Angoche,91,MZ,1555901778,82,-16.23,39.91,74.0,7.02
147,Nevsehir,75,TR,1555899600,86,38.62,34.71,37.4,3.36
148,Gorom-Gorom,2,BF,1555901780,40,14.45,-0.24,86.22,3.8
149,Plettenberg Bay,8,ZA,1555901781,89,-34.05,23.37,56.23,4.29
150,Cidreira,69,BR,1555901783,68,-30.17,-50.22,64.48,7.31
151,Naze,75,NG,1555898400,100,5.43,7.07,78.8,4.25
152,Gondanglegi,41,ID,1555901785,62,-7.75,112.01,86.83,3.83
153,Craig,90,US,1555901483,70,40.52,-107.55,51.8,10.29
154,Lagoa,0,PT,1555901539,82,37.14,-8.45,59.0,2.24
155,Klaksvik,100,FO,1555901400,100,62.23,-6.59,46.4,11.41
156,Touros,20,BR,1555898400,88,-5.2,-35.46,75.2,3.36
157,Clarence Town,100,AU,1555901440,53,-32.59,151.78,81.0,10.29
158,Narsaq,93,GL,1555897800,69,60.91,-46.05,35.6,4.7
159,Hermanus,0,ZA,1555901156,85,-34.42,19.24,64.0,5.99
160,Chuy,0,UY,1555901794,65,-33.69,-53.46,63.43,10.54
161,Kupang,20,ID,1555898400,49,-10.16,123.6,89.6,16.11
162,Pisco,40,PE,1555901195,78,-13.71,-76.2,71.6,9.17
163,Canto do Buriti,100,BR,1555901798,90,-8.11,-42.94,74.02,1.92
164,Beloha,0,MG,1555901799,96,-25.17,45.06,68.26,4.23
165,Zhanaozen,0,KZ,1555901800,55,43.35,52.85,44.87,8.46
166,Awbari,0,LY,1555901801,14,26.59,12.77,75.31,19.44
167,Kapaa,75,US,1555900999,61,22.08,-159.32,80.6,13.87
168,Black River,75,JM,1555901203,69,18.03,-77.85,78.8,3.36
169,High Level,75,CA,1555898400,26,58.52,-117.13,55.4,8.05
170,Starozhilovo,2,RU,1555901615,60,54.23,39.91,30.99,4.16
171,Vanavara,3,RU,1555901807,75,60.35,102.28,25.81,9.35
172,Ballina,63,IE,1555901291,87,54.11,-9.15,51.01,14.0
173,Joue-les-Tours,0,FR,1555901759,81,47.35,0.67,51.8,3.36
174,Longyearbyen,0,NO,1555901400,56,78.22,15.63,12.2,11.41
175,Chokurdakh,100,RU,1555901812,81,70.62,147.9,21.87,16.53
176,Paamiut,100,GL,1555901813,82,61.99,-49.67,31.66,18.05
177,Pata,0,SK,1555901765,69,48.28,17.83,48.99,4.7
178,Port Elizabeth,1,US,1555901809,87,39.31,-74.98,57.99,2.26
179,Brokopondo,40,SR,1555898400,94,5.06,-54.98,75.2,4.7
180,Codrington,40,AU,1555901561,69,-28.95,153.24,77.0,1.12
181,Avarua,35,CK,1555900200,61,-21.21,-159.78,78.8,8.05
182,Pevek,0,RU,1555901823,79,69.7,170.27,6.71,7.09
183,Torbay,75,CA,1555901615,93,47.66,-52.73,52.0,26.4
184,Honiara,40,SB,1555898400,75,-9.43,159.96,89.6,16.11
185,Clyde River,1,CA,1555898400,63,70.47,-68.59,-5.81,5.82
186,Warmbad,1,DE,1555901802,80,50.67,13.08,48.99,2.24
187,Kavieng,46,PG,1555901829,68,-2.57,150.8,85.34,6.11
188,Upernavik,100,GL,1555901830,87,72.79,-56.15,5.83,12.48
189,Kultayevo,0,RU,1555900200,60,57.89,55.94,39.2,8.95
190,Tasiilaq,35,GL,1555897800,92,65.61,-37.64,28.4,6.93
191,La Asuncion,100,EC,1555901833,97,-1.64,-78.74,47.11,2.48
192,Bernardino de Campos,37,BR,1555901835,92,-23.01,-49.48,65.9,5.55
193,Pasighat,6,IN,1555901836,40,28.06,95.33,78.03,0.83
194,Pangnirtung,0,CA,1555901837,43,66.15,-65.72,-6.11,5.17
195,Saldanha,23,PT,1555901838,73,41.42,-6.55,48.26,3.98
196,Fortuna,75,ES,1555901746,93,38.18,-1.13,55.99,4.7
197,Dunedin,0,NZ,1555901637,61,-45.87,170.5,59.0,11.01
198,Tecoanapa,75,MX,1555897680,94,16.99,-99.26,77.0,3.36
199,Imbituba,75,BR,1555898400,88,-28.24,-48.67,73.4,10.29
200,Quatre Cocos,75,MU,1555901043,94,-20.21,57.76,77.0,17.22
201,Kaoma,29,ZM,1555901845,85,-14.8,24.8,62.06,5.64
202,Adrar,0,DZ,1555898400,25,27.87,-0.29,62.6,8.05
203,Valparaiso,1,US,1555901790,41,41.47,-87.06,68.0,5.82
204,Satun,20,TH,1555900200,66,6.62,100.07,89.6,4.7
205,Kiruna,100,SE,1555899600,69,67.86,20.23,35.6,11.41
206,Baykit,96,RU,1555901851,82,61.68,96.39,23.4,10.71
207,Beringovskiy,2,RU,1555901852,81,63.05,179.32,12.33,12.41
208,Port Hedland,0,AU,1555900200,17,-20.31,118.58,82.4,14.99
209,San Andres Sajcabaja,10,GT,1555901117,90,15.18,-90.94,55.0,1.92
210,Road Town,20,VG,1555901650,69,18.42,-64.62,78.8,12.75
211,Can,99,IT,1555901832,76,46.08,11.97,53.01,2.24
212,Mahibadhoo,100,MV,1555901857,73,3.78,72.97,85.7,11.9
213,Ust-Tsilma,100,RU,1555901859,89,65.44,52.15,37.89,10.42
214,Sao Filipe,15,CV,1555901860,84,14.9,-24.5,70.83,17.05
215,Sept-Iles,90,CA,1555901108,100,50.2,-66.38,35.01,4.7
216,Wajima,20,JP,1555898400,48,37.4,136.9,62.6,3.36
217,Aklavik,20,CA,1555898400,48,68.22,-135.01,42.8,9.17
218,Tornio,0,FI,1555901750,74,61.12,27.27,41.0,3.36
219,Seymchan,69,RU,1555901874,95,62.93,152.39,31.91,6.93
220,Geraldton,75,CA,1555898400,47,49.72,-86.95,37.4,8.05
221,Catuday,4,PH,1555901877,73,16.29,119.81,85.46,7.61
222,Amuntai,86,ID,1555901878,47,-2.42,115.25,94.1,2.57
223,Rocha,0,UY,1555901879,86,-34.48,-54.34,51.05,3.31
224,Zhigansk,86,RU,1555901880,88,66.77,123.37,25.6,9.71
225,Marrakesh,75,MA,1555900200,87,31.63,-7.99,57.2,4.7
226,Yeniseysk,5,RU,1555901882,68,58.45,92.17,26.8,7.87
227,Surt,2,LY,1555901884,47,31.21,16.59,68.33,25.41
228,Vagur,100,FO,1555901885,97,61.47,-6.81,47.11,19.1
229,Jalu,0,LY,1555901886,25,29.03,21.55,65.32,10.71
230,Carnarvon,7,ZA,1555901887,75,-30.97,22.13,51.46,21.5
231,Kutum,20,SD,1555901888,14,14.2,24.66,66.44,6.96
232,Tanete,51,ID,1555901890,68,-3.94,119.78,87.95,10.51
233,Nantucket,90,US,1555901760,93,41.28,-70.1,54.0,2.08
234,Ferrol,90,ES,1555901670,100,43.48,-8.23,52.0,3.36
235,Alofi,26,NU,1555898400,69,-19.06,-169.92,80.6,20.8
236,Boa Vista,0,BR,1555898400,54,2.82,-60.67,84.2,6.93
237,Chapais,1,CA,1555898400,74,49.78,-74.86,30.2,9.17
238,Iqaluit,20,CA,1555901562,76,63.75,-68.52,-5.01,25.28
239,Cap Malheureux,75,MU,1555901043,94,-19.98,57.61,77.0,17.22
240,Rzhyshchiv,0,UA,1555898400,69,49.97,31.05,35.6,2.24
241,Port Alfred,100,ZA,1555901880,95,-33.59,26.89,61.0,11.48
242,Port Pirie,0,AU,1555898400,59,-33.18,138.01,64.4,14.99
243,Moose Factory,1,CA,1555898400,79,51.26,-80.61,26.6,3.36
244,Shar,100,NG,1555901904,68,7.3,8.73,83.3,9.01
245,Tamandare,100,BR,1555901905,96,-8.28,-70.75,73.76,2.01
246,Inirida,100,CO,1555901907,96,3.87,-67.92,76.07,1.66
247,Shakiso,76,ET,1555901908,98,5.77,38.9,53.46,2.15
248,Mwanza,75,TZ,1555898400,78,-2.52,32.9,71.6,9.17
249,Kargasok,25,RU,1555901910,84,59.06,80.87,34.74,6.06
250,Rio Grande,0,BR,1555901911,82,-32.03,-52.1,55.33,3.06
251,Mogadishu,77,SO,1555901912,80,2.04,45.34,81.74,8.3
252,Katobu,75,ID,1555901676,85,-4.94,122.53,83.54,5.39
253,Ola,100,RU,1555901841,73,59.58,151.3,33.97,9.51
254,Talnakh,75,RU,1555900200,92,69.49,88.39,15.8,24.61
255,Wuwei,0,CN,1555901771,14,37.93,102.64,72.43,7.76
256,Chaman,0,AF,1555901918,17,30.92,66.46,78.73,7.49
257,Anloga,20,GH,1555898400,79,5.79,0.9,84.2,8.05
258,Pinheiro Machado,0,BR,1555901920,94,-31.58,-53.38,50.8,6.04
259,Hami,98,CN,1555901921,25,42.84,93.51,73.58,3.65
260,Te Anau,0,NZ,1555901923,49,-45.41,167.72,59.85,3.74
261,Westport,100,IE,1555901892,86,53.8,-9.52,51.01,20.0
262,Faya,0,SA,1555898400,93,18.39,42.45,60.8,0.65
263,Coolum Beach,96,AU,1555901926,78,-26.53,153.09,75.99,4.0
264,Hereford,0,GB,1555901652,90,52.06,-2.72,52.0,3.83
265,Jefferson City,1,US,1555901604,33,38.58,-92.17,77.0,11.41
266,Ancud,90,CL,1555898400,81,-41.87,-73.83,48.2,3.36
267,Nanortalik,90,GL,1555901931,91,60.14,-45.24,29.03,3.58
268,Muros,0,ES,1555901918,87,42.77,-9.06,57.0,1.12
269,Kruisfontein,100,ZA,1555901933,89,-34.0,24.73,58.63,5.73
270,Nome,1,US,1555901880,77,30.04,-94.42,69.01,8.05
271,Yumen,0,CN,1555901935,26,40.29,97.04,70.49,15.84
272,Sisophon,100,KH,1555901936,48,13.59,102.97,94.55,4.97
273,San Quintin,0,PH,1555901938,44,17.54,120.52,94.48,8.05
274,Oyama,75,JP,1555901618,49,36.31,139.8,84.0,8.05
275,Ilulissat,100,GL,1555897800,92,69.22,-51.1,23.0,6.91
276,Santona,19,ES,1555901884,93,43.44,-3.46,53.01,2.24
277,Petropavlovsk-Kamchatskiy,75,RU,1555900200,48,53.05,158.65,41.0,2.24
278,Victoria,75,BN,1555900200,62,5.28,115.24,89.6,5.82
279,Port Macquarie,75,AU,1555901705,57,-31.43,152.91,77.0,8.05
280,Zhuzhou,90,CN,1555898400,93,27.84,113.15,66.2,8.95
281,San Patricio,5,PY,1555901947,93,-26.98,-56.83,70.15,7.36
282,Nishihara,75,JP,1555901704,77,35.74,139.53,81.0,5.82
283,Makat,0,KZ,1555901949,42,47.65,53.35,49.75,3.78
284,Price,40,US,1555901652,76,39.6,-110.81,48.2,6.93
285,Balabac,26,PH,1555901952,77,7.99,117.06,84.78,16.55
286,Sturgeon Falls,90,CA,1555901416,81,46.36,-79.93,50.0,6.93
287,Kokopo,82,PG,1555901954,82,-4.34,152.27,82.75,1.88
288,Lebu,40,ET,1555898400,93,8.96,38.73,57.2,4.7
289,Port Lincoln,82,AU,1555901956,61,-34.72,135.86,60.55,9.69
290,Volksrust,96,ZA,1555901957,92,-27.36,29.88,50.2,5.88
291,San Juan,2,AR,1555901744,54,-31.54,-68.53,50.96,4.09
292,Rockland,75,US,1555901960,93,42.13,-70.92,57.99,3.36
293,Nouadhibou,0,MR,1555898400,82,20.93,-17.03,62.6,16.11
294,Mehamn,79,NO,1555901963,83,71.03,27.85,37.91,26.15
295,Faanui,100,PF,1555901965,75,-16.48,-151.75,82.84,4.83
296,Lavrentiya,96,RU,1555901966,88,65.58,-170.99,8.21,13.49
297,Beinamar,100,TD,1555901967,57,8.67,15.38,80.28,2.19
298,Batote,0,IN,1555901968,25,33.12,75.32,74.75,7.72
299,Bahia Blanca,0,AR,1555901969,82,-38.72,-62.27,53.46,5.88
300,Shakawe,55,BW,1555901970,68,-18.36,21.84,68.22,1.32
301,Eydhafushi,34,MV,1555901971,71,5.1,73.07,85.18,12.66
302,Barcelos,0,PT,1555901948,93,41.53,-8.62,57.99,2.24
303,Caravelas,0,BR,1555901798,85,-17.73,-39.27,78.19,5.03
304,Tchollire,100,CM,1555901975,56,8.4,14.17,83.2,3.51
305,Kamaishi,20,JP,1555898400,31,39.28,141.86,64.4,3.36
306,Oga,97,NG,1555901977,86,8.18,5.65,76.12,10.02
307,Kargil,0,PK,1555901978,56,34.56,76.13,28.96,2.08
308,Lufilufi,75,WS,1555901582,79,-13.87,-171.6,86.0,8.05
309,Aras,2,YE,1555901981,83,14.28,44.38,65.61,1.14
310,Blama,68,SL,1555901982,92,7.87,-11.34,77.76,1.99
311,Guerrero Negro,100,MX,1555901983,85,27.97,-114.04,59.49,16.82
312,Qeshm,75,IR,1555900200,73,26.96,56.27,77.0,2.24
313,Harper,40,US,1555901854,73,30.3,-99.24,73.0,11.41
314,Matagami,100,NG,1555901986,55,9.67,8.4,78.59,3.49
315,Zonguldak,2,TR,1555901988,74,41.25,31.83,47.02,9.64
316,Vondrozo,81,MG,1555901989,98,-22.82,47.32,65.56,1.77
317,Carballo,90,ES,1555901968,100,43.21,-8.69,52.0,3.36
318,Storsteinnes,100,NO,1555901400,98,69.24,19.23,39.2,29.97
319,Khash,1,IR,1555901992,34,28.22,61.21,66.19,9.08
320,Axim,97,GH,1555901993,86,4.87,-2.24,80.64,5.97
321,Vostok,0,RU,1555901995,18,46.45,135.83,51.62,10.02
322,Nogent-le-Rotrou,0,FR,1555901899,82,48.32,0.82,55.4,3.36
323,Wajid,100,SO,1555901997,71,3.81,43.25,80.55,14.9
324,Ntcheu,86,MW,1555901998,98,-14.82,34.64,56.43,4.94
325,Redding,1,US,1555901190,39,40.59,-122.39,78.8,3.87
326,Przasnysz,75,PL,1555901786,93,53.02,20.88,44.01,9.17
327,Bloomington,1,US,1555901827,72,40.47,-88.99,66.2,6.93
328,Lanzhou,0,CN,1555898400,41,36.06,103.82,60.8,4.47
329,Dalmatovo,100,RU,1555902016,80,56.26,62.94,41.42,5.95
330,Marzuq,10,YE,1555902018,55,14.4,46.47,75.06,4.59
331,San Andres,21,PH,1555902020,53,13.32,122.68,88.25,5.28
332,Kenai,90,US,1555902005,74,60.55,-151.26,39.0,11.41
333,Khandyga,100,RU,1555902023,89,62.65,135.58,34.16,3.71
334,Sisimiut,100,GL,1555902024,89,66.94,-53.67,28.48,8.59
335,Isiro,77,CD,1555902025,88,2.77,27.62,68.63,3.04
336,Iquitos,20,PE,1555898400,88,-3.75,-73.25,78.8,2.28
337,Gamba,76,CN,1555902028,47,28.28,88.52,29.14,4.81
338,Sao Felix do Xingu,94,BR,1555902029,96,-6.64,-51.99,72.16,1.61
339,Fernley,1,US,1555902010,32,39.61,-119.25,59.0,6.93
340,Anadyr,20,RU,1555901587,72,64.73,177.51,12.2,11.18
341,Richards Bay,57,ZA,1555902032,73,-28.77,32.06,73.51,16.4
342,Hay River,40,CA,1555898400,80,60.82,-115.79,33.8,10.29
343,Uddevalla,33,SE,1555902010,74,58.35,11.94,41.0,4.7
344,Ostrovnoy,1,RU,1555902036,85,68.05,39.51,36.11,19.62
345,Kiri Buru,0,IN,1555902038,33,22.08,85.35,90.68,3.53
346,Yanggu,67,CN,1555902039,77,25.39,116.32,79.79,5.03
347,Yeppoon,75,AU,1555900200,54,-23.13,150.74,82.4,13.87
348,Sitka,53,US,1555902040,50,37.17,-99.65,64.99,1.01
349,Banda Aceh,71,ID,1555901957,73,5.56,95.32,85.5,9.91
350,Tuatapere,0,NZ,1555902009,73,-46.13,167.69,60.01,1.01
351,Boffa,40,GN,1555902045,73,10.18,-14.04,79.69,12.93
352,Bima,50,ID,1555902046,67,-8.45,118.73,84.91,3.94
353,Kriel,74,ZA,1555901196,95,-26.26,29.26,55.0,1.99
354,Luang Prabang,40,LA,1555898400,78,19.89,102.14,77.0,2.24
355,Yarmouth,0,GB,1555902026,81,50.71,-1.5,50.0,1.12
356,Bowen,90,AU,1555902023,83,-20.01,148.25,82.0,12.75
357,Grand Island,1,US,1555901927,56,40.92,-98.34,73.4,12.75
358,Bundu,0,IN,1555900200,65,23.16,85.59,77.0,3.36
359,Xapuri,99,BR,1555902055,85,-10.65,-68.5,75.46,1.66
360,Orda,91,RU,1555902056,83,57.2,56.91,41.33,6.4
361,Namibe,100,AO,1555902057,79,-15.19,12.15,71.84,5.7
362,Nguru,81,NG,1555902058,10,12.88,10.45,83.43,10.2
363,Acapulco,75,MX,1555897680,94,16.86,-99.88,77.0,3.36
364,Norman Wells,20,CA,1555898400,43,65.28,-126.83,50.0,14.99
365,La Rioja,88,AR,1555902062,95,-29.41,-66.86,54.38,4.34
366,Knokke-Heist,0,BE,1555902049,58,51.33,3.33,57.99,11.41
367,Longview,1,US,1555902042,56,32.5,-94.74,71.6,10.29
368,Mugur-Aksy,55,RU,1555902066,67,50.38,90.44,15.71,3.24
369,Merauke,23,ID,1555902067,77,-8.49,140.4,84.04,13.24
370,Sobolevo,6,RU,1555902068,75,54.43,31.9,43.04,1.7
371,Tangping,0,CN,1555902069,56,33.69,105.67,61.13,6.49
372,Arrigorriaga,0,ES,1555902070,93,43.21,-2.89,51.8,3.36
373,Goderich,32,CA,1555902052,89,43.74,-81.71,48.0,7.83
374,Yauya,100,PE,1555902073,93,-8.99,-77.29,38.39,1.21
